Model,True Positive,False Positive,True Negative,False Negative,Accuracy,AUC,F1-Score,Precision,Recall
DenseNet2,51,4,114,1,0.9705882352941176,0.9958823529411764,0.9532710280373831,0.9272727272727272,0.9807692307692307
DenseNet2*,49,0,118,3,0.984602076,0.996643599,0.97029703,1,0.942307692
DenseNet,48,0,118,4,0.9764705882352941,0.9579930795847751,0.9600000000000001,1,0.9230769230769231
ResNet152,46,9,109,6,0.9117647058823529,0.970484429,0.8598130841121494,0.8363636363636363,0.8846153846153846
VGG19,50,3,115,2,0.9705882352941176,0.9794809688581315,0.9523809523809524,0.9433962264150944,0.9615384615384616
Xception,44,1,117,8,0.9470588235294117,0.9796193771626297,0.9072164948453608,0.9777777777777777,0.8461538461538461
InceptionResNetV2,40,1,117,12,0.9235294117647059,0.9773356401384083,0.860215054,0.975609756,0.7692307692307693
,,,,,,,,,
,,,,,,,,,
* Retrained,,,,,,,,,
